code,system
14AB.00,readv2
2417.0,readv2
18996.0,readv2
15788.0,readv2
19354.0,readv2
10794.0,readv2
1895.0,readv2
6489.0,readv2
1433.0,readv2
105738.0,readv2
63746.0,readv2
28278.0,readv2
16507.0,readv2
19004.0,readv2
100015.0,readv2
1195.0,readv2
504.0,readv2
5268.0,readv2
G65zz00,readv2
G65z.00,readv2
1B1S.00,readv2
Z7CE711,readv2
G655.00,readv2
Z7CE700,readv2
G45.4,readv2
G65..13,readv2
G656.00,readv2
G650.11,readv2
14AB000,readv2
F423600,readv2
G45.3,readv2
G65..12,readv2
8CRB.00,readv2
G657.00,readv2
G45.1,readv2
G65y.00,readv2
G65..00,readv2
Fyu5500,readv2
G65z100,readv2
G45.9,readv2
G45.8,readv2
G45.2,readv2
G46.0,readv2
G46.1,readv2
G46.2,readv2
ZV12D00,readv2
101251.0,readv2
13567.0,readv2
105202.0,readv2
G45.0,readv2
I66,readv2
I65,readv2
